iter	RMSE
0	0.6439080544
1	0.6399730903
2	0.6361782414
3	0.6325634017
4	0.6292900354
5	0.6258134864
6	0.6228770752
7	0.6195571017
8	0.6164923356
9	0.6134071156
10	0.610786029
11	0.6083493171
12	0.6056528773
13	0.6028900197
14	0.600560841
15	0.5984226293
16	0.5960832494
17	0.593684765
18	0.5914806211
19	0.5895032024
20	0.5878786879
21	0.585814749
22	0.5837272622
23	0.5820343728
24	0.5803259756
25	0.5788133881
26	0.5769960975
27	0.5753335936
28	0.5736828462
29	0.572036799
30	0.5706667583
31	0.5693075326
32	0.5678806232
33	0.5666342032
34	0.5654641297
35	0.5641782065
36	0.5630967109
37	0.562207736
38	0.5613391997
39	0.5604920492
40	0.559258517
41	0.5582629501
42	0.5573581607
43	0.55643518
44	0.5554899958
45	0.5547063437
46	0.5539820654
47	0.5535633189
48	0.5527982647
49	0.5524677095
50	0.5518522104
51	0.5510177493
52	0.5504327492
53	0.5497568885
54	0.5491908035
55	0.5484241172
56	0.547610982
57	0.5471283193
58	0.5465484921
59	0.5460893093
60	0.5454035362
61	0.5448937595
62	0.5444917611
63	0.5440325222
64	0.5435676547
65	0.543115597
66	0.5426172235
67	0.5422124422
68	0.5418209722
69	0.5413962638
70	0.5408473852
71	0.540343319
72	0.5398563934
73	0.5395079377
74	0.5393782628
75	0.5390119804
76	0.538591827
77	0.5381856501
78	0.5378409761
79	0.5376261674
80	0.537292862
81	0.5370394207
82	0.5366540328
83	0.536328784
84	0.5359666153
85	0.5355981506
86	0.5353865962
87	0.5352710135
88	0.5349561529
89	0.5347553197
90	0.5345017298
91	0.5343810387
92	0.5341554128
93	0.5340492447
94	0.5338209484
95	0.5337178194
96	0.5335328336
97	0.5332582437
98	0.5329986688
99	0.532759795
100	0.5325070941
101	0.5324265765
102	0.5322635595
103	0.5320330307
104	0.531883561
105	0.5317053917
106	0.5315774912
107	0.5314535099
108	0.5312864952
109	0.5312125712
110	0.5310369315
111	0.5309934455
112	0.5308808968
113	0.5308082678
114	0.5306183778
115	0.5305962004
116	0.5303979556
117	0.5302110024
118	0.5301589212
119	0.5300292105
120	0.5298293444
121	0.5296887437
122	0.5295670681
123	0.5294545858
124	0.5293890768
125	0.5292392929
126	0.5290848004
127	0.5290248373
128	0.5288948192
129	0.528806757
130	0.5287751858
131	0.5286867594
132	0.528635861
133	0.528508748
134	0.5284082346
135	0.5283330163
136	0.5283151958
137	0.5282332689
138	0.5281521348
139	0.5280475735
140	0.5279362769
141	0.5278310083
142	0.5277480904
143	0.5276273222
144	0.5275440443
145	0.5275252378
146	0.5274476892
147	0.5273570578
148	0.5272740281
149	0.5271756873
150	0.5270910355
151	0.527038013
152	0.5269366215
153	0.5269152221
154	0.5268659019
155	0.5267987212
156	0.5267251529
157	0.5267061388
158	0.5266669247
159	0.5266256202
160	0.5266055219
161	0.5265401813
162	0.5264613557
163	0.5264172174
164	0.5264035048
165	0.526378026
166	0.5263322109
167	0.5263044981
168	0.5262981969
169	0.5262776745
170	0.526213237
171	0.5261996619
172	0.5261342265
173	0.5261066425
174	0.5260719855
175	0.5260187505
176	0.5259793869
177	0.5259322996
178	0.5258764819
179	0.5258714258
180	0.5258007411
181	0.5257692045
182	0.5257222056
183	0.5257053441
184	0.5256428274
185	0.5256196
186	0.5256050961
187	0.5255736211
188	0.5254937427
189	0.5254429026
190	0.5254236335
191	0.525414839
192	0.5254005465
193	0.5253795312
194	0.5253352514
195	0.5252825197
196	0.525265733
197	0.5252383997
198	0.5252238628
199	0.5252101322
200	0.5251645097
201	0.525104182
202	0.5250523436
203	0.5250044367
204	0.5249603116
205	0.5249048702
206	0.5248727258
207	0.5248652663
208	0.5248535336
209	0.5248361323
210	0.5248197098
211	0.5248101857
212	0.5247511205
213	0.5247402579
214	0.524716957
215	0.5246921705
216	0.5246825531
217	0.5246672353
218	0.5246242715
219	0.5245792435
220	0.524543927
221	0.5245387269
222	0.5244800903
223	0.5244614502
224	0.5244064936
225	0.5243592962
226	0.5243339612
227	0.5243064458
228	0.5242886441
229	0.5242642666
230	0.5242491778
231	0.5242120679
232	0.5241870845
233	0.5241529782
234	0.5241204068
235	0.5240991162
236	0.52409472
237	0.5240538468
238	0.5240364182
239	0.5240272436
240	0.5239940735
241	0.5239459777
242	0.523925597
243	0.5238967472
244	0.5238874112
245	0.5238714317
246	0.5238576994
247	0.5238369634
248	0.5238253088
249	0.5238201849
250	0.5238029049
251	0.5237739878
252	0.5237650991
253	0.5237348742
254	0.5237279033
255	0.5237156577
256	0.5236865967
257	0.5236580167
258	0.5236426172
259	0.5236369311
260	0.523626498
261	0.5236150802
262	0.523596057
263	0.523575847
264	0.5235461396
265	0.5235350625
266	0.5235026536
267	0.5234793641
268	0.5234627034
269	0.5234430507
270	0.5234167409
271	0.5234068596
272	0.5233920916
273	0.5233672264
274	0.5233399126
275	0.5233350375
276	0.5233104491
277	0.5233092973
278	0.5232874085
279	0.5232868457
280	0.5232527276
281	0.5232467424
282	0.5232272295
283	0.5232118979
284	0.5231782909
285	0.5231429748
286	0.5231341389
287	0.523122894
288	0.5231184112
289	0.5231043842
290	0.5230854651
291	0.5230723394
292	0.5230375913
293	0.5230169873
294	0.5229977503
295	0.5229801405
296	0.5229489283
297	0.52293187
298	0.5229127571
299	0.5228977676
300	0.5228869083
301	0.5228561548
302	0.5228182207
303	0.5228026934
304	0.5227955571
305	0.5227587497
306	0.5227497047
307	0.5227211237
308	0.5227057872
309	0.5226973011
310	0.5226761968
311	0.522673651
312	0.5226689191
313	0.5226604734
314	0.52264668
315	0.5226361708
316	0.5226276475
317	0.522619016
318	0.5226088165
319	0.522578076
320	0.5225531629
321	0.5225461055
322	0.5225336899
323	0.5225250943
324	0.5225160406
325	0.5225120259
326	0.5225022484
327	0.5224756228
328	0.5224671228
329	0.5224631817
330	0.5224575141
331	0.5224575133
332	0.5224493345
333	0.5224408856
334	0.5224280268
335	0.5224034509
336	0.5223881956
337	0.5223785679
338	0.5223653501
339	0.5223560208
340	0.522352799
341	0.5223526698
342	0.5223465199
343	0.5223292771
344	0.5223149456
345	0.5223083551
346	0.5223057985
347	0.5222927997
348	0.5222807117
349	0.5222620658
350	0.522245746
351	0.5222456254
352	0.5222202434
353	0.5222190594
354	0.5222145621
355	0.5222073888
356	0.5221997804
357	0.5221738812
358	0.5221700547
359	0.5221678468
360	0.5221544438
361	0.5221510439
362	0.5221475769
363	0.5221382487
364	0.5221337786
365	0.5221251613
366	0.5221154825
367	0.5220952514
368	0.5220879057
369	0.5220811216
370	0.5220791388
371	0.5220618729
372	0.5220529331
373	0.5220500057
374	0.5220454794
375	0.5220197707
376	0.5220114349
377	0.5220060566
378	0.5219973221
379	0.5219958567
380	0.5219734748
381	0.5219730949
382	0.5219702384
383	0.5219673462
384	0.5219603268
385	0.521957153
386	0.5219509715
387	0.5219429245
388	0.5219369691
389	0.5219136638
390	0.5219084456
391	0.5218960597
392	0.5218845525
393	0.5218821924
394	0.5218790412
395	0.521858584
396	0.5218412595
397	0.52183713
398	0.5218283575
399	0.5218208628
400	0.5218190201
401	0.5218118446
402	0.5218103122
403	0.52180402
404	0.5218022316
405	0.5217724814
406	0.5217715791
407	0.5217518516
408	0.5217343279
409	0.5217299979
410	0.5217230228
411	0.5217203685
412	0.5217025584
413	0.5217023927
414	0.521691671
415	0.5216827392
416	0.5216694265
417	0.5216677066
418	0.5216533256
419	0.5216512352
420	0.5216452432
421	0.5216393408
422	0.5216325793
423	0.5216269772
424	0.5216046932
425	0.5215929535
426	0.5215870916
427	0.5215842689
428	0.5215822393
429	0.5215753755
430	0.5215648375
431	0.5215639421
432	0.5215573506
433	0.5215265129
434	0.5215059146
435	0.5215029253
436	0.5215017665
437	0.5214898903
438	0.5214768075
439	0.521466472
440	0.5214658162
441	0.5214546113
442	0.5214424032
443	0.5214348754
444	0.5214251578
445	0.5214186972
446	0.5214102237
447	0.5214040007
448	0.5214023559
449	0.52139407
450	0.5213864445
451	0.5213853067
452	0.5213811586
453	0.5213787137
454	0.5213769453
455	0.5213664318
456	0.5213554032
457	0.5213525788
458	0.5213455924
459	0.5213414444
460	0.5213372223
461	0.5213341249
462	0.5213276246
463	0.5213179781
464	0.5213123844
465	0.5213077287
466	0.5212925004
467	0.52128885
468	0.5212706841
469	0.5212632955
470	0.5212603616
471	0.5212425596
472	0.5212386744
473	0.5212224085
474	0.5212091411
475	0.5211963987
476	0.5211881402
477	0.5211854313
478	0.5211636984
479	0.5211614684
480	0.5211541323
481	0.5211495654
482	0.5211433461
483	0.5211350493
484	0.5211329611
485	0.5211212948
486	0.5211144321
487	0.52111157
488	0.5211021375
489	0.5211009384
490	0.5210983147
491	0.521082797
492	0.5210771431
493	0.521073125
494	0.5210681266
495	0.5210661044
496	0.5210401522
497	0.5210307087
498	0.5210273346
499	0.5210241303
500	0.5210136115
501	0.5210049071
502	0.5209831158
503	0.5209811301
504	0.520975256
505	0.5209719673
506	0.5209625387
507	0.5209618566
508	0.5209519552
509	0.5209292452
510	0.5209285199
511	0.520914744
512	0.520909695
513	0.5209090937
514	0.5209045303
515	0.5208982833
516	0.5208936539
517	0.5208908359
518	0.5208870183
519	0.5208832267
520	0.5208815368
521	0.5208763423
522	0.5208750163
